year,a,b,w
2019,Beijing,Shanghai,1250.1
2019,Guangzhou,Shanghai,943.5
2019,Shanghai,Shenzhen,914.1
2019,Chengdu,Shanghai,851.1
2019,Chongqing,Shanghai,513.6
2019,Shanghai,Xi'an,466.2
2019,Kunming,Shanghai,458.1
2019,Beijing,Hangzhou,413.0
2019,Guangzhou,Hangzhou,337.5
2019,Shanghai,Urumqi,337.4
2019,Sanya,Shanghai,314.9
2019,Hangzhou,Shenzhen,298.7
2019,Guangzhou,Nanjing,283.3
2019,Harbin,Shanghai,281.3
2019,Chengdu,Hangzhou,277.7
2019,Changchun,Shanghai,266.0
2019,Shanghai,Shenyang,261.9
2019,Shanghai,Xiamen,258.3
2019,Nanjing,Shenzhen,254.4
2019,Qingdao,Shanghai,252.4
2019,Chongqing,Hangzhou,244.5
2019,Dalian,Shanghai,226.0
2019,Guiyang,Shanghai,223.9
2019,Chengdu,Nanjing,205.1
2019,Kunming,Nanjing,201.7
2019,Hangzhou,Xi'an,199.7
2019,Shanghai,Tianjin,198.0
2019,Hangzhou,Kunming,195.1
2019,Changsha,Shanghai,178.2
2019,Shanghai,Zhuhai,175.9
2019,Shanghai,Taiyuan,173.3
2019,Shanghai,Wuhan,170.6
2019,Chongqing,Nanjing,168.0
2019,Lanzhou,Shanghai,164.1
2019,Haikou,Shanghai,160.1
2019,Guiyang,Hangzhou,158.8
2019,Nanning,Shanghai,157.5
2019,Shenzhen,Wuxi,156.3
2019,Shanghai,Zhengzhou,149.0
2019,Harbin,Nanjing,148.6
2019,Guangzhou,Wuxi,143.0
2019,Guiyang,Nanjing,142.7
2019,Hangzhou,Harbin,142.1
2019,Beijing,Wenzhou,135.1
2019,Guangzhou,Ningbo,134.6
2019,Nanjing,Xi'an,133.7
2019,Guiyang,Wenzhou,133.5
2019,Hefei,Shenzhen,129.7
2019,Nanjing,Sanya,126.7
2019,Guangzhou,Wenzhou,126.3
2019,Beijing,Nanjing,124.6
2019,Hangzhou,Sanya,123.3
2019,Kunming,Wenzhou,122.2
2019,Fuzhou,Shanghai,120.5
2019,Changchun,Nanjing,116.3
2019,Hefei,Kunming,112.0
2019,Chengdu,Wuxi,111.6
2019,Guilin,Shanghai,109.1
2019,Shanghai,Yantai,108.9
2019,Beijing,Ningbo,108.3
2019,Nanjing,Nanning,106.9
2019,Jieyang,Shanghai,106.5
2019,Hangzhou,Nanning,105.9
2019,Kunming,Wuxi,105.3
2019,Haikou,Hangzhou,103.6
2019,Hangzhou,Shenyang,101.6
2019,Guangzhou,Hefei,101.0
