city,year,emissions,degree,comm
Aba,2019,1.4,1,D
Aba,2020,1.8,2,B
Aba,2021,3.9,3,E
Aba,2022,2.1,3,A
Aba,2023,5.9,3,D
Ankang,2020,0.8,2,D
Ankang,2021,6.0,3,C
Ankang,2022,6.8,3,A
Ankang,2023,9.8,4,D
Anqing,2019,47.4,15,B
Anqing,2020,41.9,18,D
Anqing,2021,51.5,16,B
Anqing,2022,31.6,16,B
Anqing,2023,49.5,17,C
Anshan,2019,8.2,2,A
Anshan,2020,11.9,2,A
Anshan,2021,9.4,2,A
Anshan,2022,2.4,2,B
Anshan,2023,0.2,1,A
Anshun,2019,15.1,3,C
Anshun,2020,5.4,3,A
Anshun,2021,2.7,3,D
Anshun,2022,0.1,1,B
Anshun,2023,3.6,1,A
Baishan,2019,9.8,5,A
Baishan,2020,6.2,5,A
Baishan,2021,8.9,2,A
Baishan,2022,12.6,2,B
Baishan,2023,21.0,3,A
Baoshan,2019,33.0,3,B
Baoshan,2020,19.3,3,D
Baoshan,2021,13.1,3,C
Baoshan,2022,3.2,3,C
Baoshan,2023,4.7,2,B
Baotou,2019,29.9,5,A
Baotou,2020,32.4,4,A
Baotou,2021,28.9,6,A
Baotou,2022,21.8,5,B
Baotou,2023,31.4,6,A
Bazhong,2019,3.4,1,A
Bazhong,2020,7.6,2,A
Bazhong,2021,12.5,5,D
Bazhong,2022,8.9,4,D
Bazhong,2023,12.1,5,C
Beihai,2019,31.5,7,C
Beihai,2020,27.9,6,C
Beihai,2021,36.3,6,A
Beihai,2022,17.4,6,B
Beihai,2023,31.2,8,A
Beijing,2019,1173.0,21,A
Beijing,2020,821.1,21,A
Beijing,2021,1020.3,21,A
Beijing,2022,422.4,21,B
Beijing,2023,1357.2,21,A
Bijie,2019,20.6,4,C
Bijie,2020,24.5,5,B
Bijie,2021,21.7,5,C
Bijie,2022,9.6,5,A
Bijie,2023,12.3,5,D
Changchun,2019,358.3,15,B
Changchun,2020,280.4,15,C
Changchun,2021,337.0,15,B
Changchun,2022,248.1,15,C
Changchun,2023,426.3,16,B
Changde,2019,14.9,4,C
Changde,2020,16.8,5,A
Changde,2021,21.7,5,D
Changde,2022,11.1,5,B
Changde,2023,13.1,4,D
Changsha,2019,232.8,13,D
Changsha,2020,226.4,16,B
Changsha,2021,224.9,17,D
Changsha,2022,142.6,18,D
Changsha,2023,248.7,18,C
Changzhi,2019,10.2,2,B
Changzhi,2020,5.3,2,A
Changzhi,2021,4.6,1,A
Changzhi,2022,2.2,2,B
Changzhi,2023,7.5,2,A
Changzhou,2019,257.1,27,B
Changzhou,2020,197.3,26,C
Changzhou,2021,248.6,33,B
Changzhou,2022,176.7,40,A
Changzhou,2023,311.6,43,B
Chaoyang,2020,3.2,1,A
Chaoyang,2021,6.5,1,A
Chaoyang,2022,2.3,1,B
Chaoyang,2023,6.7,1,A
Chengde,2022,0.9,2,B
Chengde,2023,2.7,2,B
Chengdu,2019,900.2,18,A
Chengdu,2020,873.8,20,A
Chengdu,2021,904.2,22,A
Chengdu,2022,581.0,21,A
Chengdu,2023,1308.2,22,D
Chenzhou,2021,1.8,3,B
Chenzhou,2022,4.6,4,D
Chenzhou,2023,7.1,4,C
Chifeng,2019,10.6,2,C
Chifeng,2020,9.8,3,D
Chifeng,2021,16.3,3,B
Chifeng,2022,14.5,3,C
Chifeng,2023,20.7,3,D
Chizhou,2019,42.4,18,A
Chizhou,2020,23.1,17,A
Chizhou,2021,18.4,7,E
Chizhou,2022,11.9,12,B
Chizhou,2023,24.0,10,A
Chongqing,2019,728.4,21,C
Chongqing,2020,712.0,21,B
Chongqing,2021,732.4,21,C
Chongqing,2022,422.8,21,A
Chongqing,2023,845.2,21,C
Dali,2019,21.4,3,A
Dali,2020,23.5,3,A
Dali,2021,25.5,4,A
Dali,2022,16.7,4,B
Dali,2023,40.1,5,A
Dalian,2019,325.8,20,B
Dalian,2020,200.7,20,C
Dalian,2021,225.9,19,B
Dalian,2022,160.4,18,C
Dalian,2023,321.1,18,B
Dandong,2019,4.2,2,A
Dandong,2020,2.5,2,A
Dandong,2021,4.4,2,A
Dandong,2022,1.0,1,B
Dandong,2023,4.2,2,A
Daqing,2019,1.9,3,D
Daqing,2020,7.8,1,A
Daqing,2021,9.6,2,A
Daqing,2022,7.2,2,C
Daqing,2023,13.9,2,A
Datong,2019,16.3,3,B
Datong,2020,19.2,4,C
Datong,2021,17.6,4,A
Datong,2022,7.6,2,B
Datong,2023,19.4,3,A
Dazhou,2019,5.2,3,A
Dazhou,2020,9.1,3,A
Dazhou,2021,8.9,2,A
Dazhou,2022,8.2,6,B
Dazhou,2023,14.7,6,A
Dehong,2019,4.9,2,A
Dehong,2020,5.8,2,A
Dehong,2021,6.1,3,A
Dehong,2022,2.1,2,B
Dehong,2023,18.2,3,D
Dongying,2019,17.3,3,A
Dongying,2020,9.9,2,A
Dongying,2021,20.5,4,D
Dongying,2022,10.0,3,D
Dongying,2023,17.0,3,C
Enshi,2019,17.0,4,C
Enshi,2020,15.7,4,D
Enshi,2021,23.1,4,C
Enshi,2022,10.5,4,A
Enshi,2023,20.9,4,D
Ezhou,2022,1.2,2,B
Ezhou,2023,6.9,4,A
Foshan,2019,16.0,4,D
Foshan,2020,12.9,6,B
Foshan,2021,21.8,5,D
Foshan,2022,17.2,5,D
Foshan,2023,33.6,7,C
Fuyang,2019,55.2,18,A
Fuyang,2020,48.4,25,C
Fuyang,2021,67.6,27,B
Fuyang,2022,45.0,28,D
Fuyang,2023,69.1,37,B
Fuzhou,2019,121.3,13,A
Fuzhou,2020,87.5,13,C
Fuzhou,2021,83.5,13,B
Fuzhou,2022,48.6,17,C
Fuzhou,2023,92.9,17,B
Ganzhou,2019,22.3,6,D
Ganzhou,2020,24.9,6,D
Ganzhou,2021,38.5,5,D
Ganzhou,2022,19.9,7,C
Ganzhou,2023,34.7,6,B
Guangyuan,2019,14.3,2,C
Guangyuan,2020,11.6,2,D
Guangyuan,2021,15.8,3,A
Guangyuan,2022,8.8,3,A
Guangyuan,2023,14.8,4,D
Guangzhou,2019,1171.0,20,A
Guangzhou,2020,992.6,22,B
Guangzhou,2021,940.2,22,A
Guangzhou,2022,584.8,22,A
Guangzhou,2023,1260.0,22,A
Guilin,2019,178.8,14,B
Guilin,2020,102.5,14,C
Guilin,2021,108.0,13,B
Guilin,2022,54.1,12,C
Guilin,2023,121.0,14,B
Guiyang,2019,455.5,18,D
Guiyang,2020,437.6,21,B
Guiyang,2021,436.1,19,D
Guiyang,2022,308.0,19,D
Guiyang,2023,493.8,19,C
Haikou,2019,285.3,16,B
Haikou,2020,252.5,17,D
Haikou,2021,263.1,18,B
Haikou,2022,207.3,19,B
Haikou,2023,354.0,16,D
Hami,2019,3.7,1,A
Hami,2020,0.3,1,A
Handan,2019,16.1,5,A
Handan,2020,12.6,5,A
Handan,2021,14.4,5,D
Handan,2022,7.1,4,D
Handan,2023,10.6,3,C
Hangzhou,2019,2309.2,101,C
Hangzhou,2020,2005.9,102,D
Hangzhou,2021,2009.4,106,C
Hangzhou,2022,1485.7,105,A
Hangzhou,2023,2681.1,109,D
Hanzhong,2019,17.5,5,C
Hanzhong,2020,14.0,4,D
Hanzhong,2021,14.4,5,D
Hanzhong,2022,10.7,4,A
Hanzhong,2023,12.2,5,C
Harbin,2019,472.0,15,B
Harbin,2020,383.2,16,C
Harbin,2021,343.7,16,B
Harbin,2022,284.8,17,C
Harbin,2023,473.5,16,B
Hefei,2019,814.7,56,B
Hefei,2020,656.6,59,C
Hefei,2021,671.1,61,B
Hefei,2022,498.3,63,C
Hefei,2023,830.7,64,B
Hengyang,2019,14.3,5,D
Hengyang,2020,19.2,6,B
Hengyang,2021,20.7,6,C
Hengyang,2022,15.0,6,D
Hengyang,2023,22.0,6,C
Heze,2021,3.6,2,A
Heze,2022,3.2,2,B
Heze,2023,6.6,3,D
Hohhot,2019,104.2,11,B
Hohhot,2020,90.0,14,C
Hohhot,2021,105.1,13,A
Hohhot,2022,54.3,13,C
Hohhot,2023,118.8,14,B
Huai'an,2019,178.7,36,B
Huai'an,2020,112.4,34,C
Huai'an,2021,118.6,37,B
Huai'an,2022,75.3,32,C
Huai'an,2023,126.2,34,B
Huaihua,2019,5.4,2,C
Huaihua,2020,5.3,2,D
Huaihua,2021,5.4,2,C
Huaihua,2022,2.8,3,A
Huaihua,2023,5.4,3,D
Huangshan,2019,60.0,23,B
Huangshan,2020,41.5,24,D
Huangshan,2021,43.3,20,B
Huangshan,2022,17.9,21,B
Huangshan,2023,47.6,18,C
Huizhou,2019,49.3,8,B
Huizhou,2020,38.2,10,B
Huizhou,2021,39.0,7,E
Huizhou,2022,26.9,7,A
Huizhou,2023,55.2,7,C
Hulunbuir,2019,16.1,7,B
Hulunbuir,2020,9.9,6,C
Hulunbuir,2021,9.6,6,D
Hulunbuir,2022,6.8,5,C
Hulunbuir,2023,30.2,8,C
Ili,2019,4.4,1,B
Ili,2020,3.1,2,C
Ili,2021,4.8,2,B
Ili,2022,3.6,5,C
Ili,2023,8.6,3,C
Ji'an,2019,15.2,4,A
Ji'an,2020,11.4,3,A
Ji'an,2021,17.2,5,D
Ji'an,2022,7.0,4,D
Ji'an,2023,16.9,5,A
Jiamusi,2021,1.6,2,A
Jiamusi,2022,5.7,1,B
Jiamusi,2023,11.4,1,A
Jieyang,2019,126.0,15,A
Jieyang,2020,113.8,17,C
Jieyang,2021,121.9,15,B
Jieyang,2022,76.7,17,A
Jieyang,2023,135.7,18,B
Jinan,2019,52.9,10,D
Jinan,2020,48.0,9,B
Jinan,2021,61.5,8,D
Jinan,2022,25.8,9,D
Jinan,2023,48.8,11,C
Jingdezhen,2019,5.7,3,D
Jingdezhen,2020,4.8,3,A
Jingdezhen,2021,5.5,3,D
Jingdezhen,2022,2.5,2,D
Jingdezhen,2023,5.4,3,A
Jingzhou,2021,6.5,3,A
Jingzhou,2022,6.8,3,B
Jingzhou,2023,11.0,4,A
Jinhua,2019,134.3,18,A
Jinhua,2020,126.1,20,B
Jinhua,2021,148.7,22,B
Jinhua,2022,87.1,27,A
Jinhua,2023,204.5,24,C
Jining,2019,6.3,3,A
Jining,2020,1.7,1,A
Jining,2021,6.3,2,C
Jining,2022,4.7,4,A
Jining,2023,1.2,3,D
Jinzhou,2019,11.5,3,C
Jinzhou,2020,9.7,3,A
Jinzhou,2021,13.1,3,A
Jinzhou,2022,8.1,3,B
Jinzhou,2023,13.6,3,A
Jiuquan,2019,6.2,1,C
Jiuquan,2020,0.5,1,D
Jiuquan,2021,0.1,2,A
