city,lon,lat,yrd
Aba,102.263,32.4513,0
Ankang,109.1355,32.7775,0
Anqing,116.5659,30.5388,1
Anshan,122.7971,40.7846,0
Anshun,105.7772,25.9933,0
Baishan,127.199,42.1008,0
Baoshan,99.0644,24.9917,0
Baotou,110.55,41.4885,0
Bazhong,107.0287,31.9923,0
Beihai,109.1764,21.661,0
Beijing,116.6296,40.2514,0
Bijie,105.0285,27.0718,0
Changchun,125.6086,44.2044,0
Changde,111.7213,29.2694,0
Changsha,113.2239,28.2569,0
Changzhi,112.8755,36.4774,0
Changzhou,119.4368,31.6103,1
Chaoyang,120.1422,41.4893,0
Chengde,117.1855,41.4101,0
Chengdu,103.8678,30.7614,0
Chenzhou,113.1852,25.8735,0
Chifeng,118.496,43.2694,0
Chizhou,117.3691,30.2104,1
Chongqing,107.8685,30.1879,0
Dali,99.9138,25.6829,0
Dalian,121.9187,39.4638,0
Dandong,124.3161,40.4514,0
Daqing,124.4208,46.428,0
Datong,113.7961,39.8923,0
Dazhou,107.6117,31.3317,0
Dehong,98.0209,24.5919,0
Dongying,118.5468,37.5404,0
Enshi,109.4529,30.2537,0
Ezhou,114.9018,30.3222,0
Foshan,112.9978,23.1074,0
Fuyang,115.4626,32.9959,1
Fuzhou,119.1116,25.9877,0
Ganzhou,115.0538,25.8161,0
Guangyuan,105.9158,32.2344,0
Guangzhou,113.5305,23.2474,0
Guilin,110.4456,25.3191,0
Guiyang,106.6002,26.7732,0
Haikou,110.4254,19.8066,0
Hami,92.7197,42.9845,0
Handan,114.4301,36.5332,0
Hangzhou,119.4777,29.8787,1
Hanzhong,107.0222,33.0242,0
Harbin,127.3952,45.3613,0
Hefei,117.331,31.7493,1
Hengyang,112.4857,26.7859,0
Heze,115.5991,35.2203,0
Hohhot,111.555,40.4862,0
Huai'an,119.1115,33.4095,1
Huaihua,109.995,27.4557,0
Huangshan,117.8692,29.9592,1
Huizhou,114.3255,23.2735,0
Hulunbuir,119.77,49.21,0
Ili,82.7979,43.5588,0
Ji'an,114.9234,26.9753,0
Jiamusi,132.3322,47.2019,0
Jieyang,116.061,23.3302,0
Jinan,117.2708,36.7692,0
Jingdezhen,117.254,29.327,0
Jingzhou,112.6309,30.0478,0
Jinhua,119.65,29.08,0
Jining,116.6421,35.2183,0
Jinzhou,121.5331,41.4637,0
Jiuquan,96.5453,40.48,0
Kashgar,77.1975,37.853,0
Kunming,102.9191,25.4693,0
Lanzhou,103.5375,36.2847,0
Lhasa,91.3823,30.1483,0
Lianyungang,119.0369,34.544,1
Lijiang,100.648,26.9579,0
Lincang,99.6053,24.0569,0
Linfen,111.4966,36.1646,0
Linyi,118.3055,35.2969,0
Liupanshui,104.7593,26.1267,0
Liuzhou,109.3107,24.978,0
Longnan,105.2535,33.5629,0
Longyan,116.6964,25.2091,0
Luoyang,111.8839,34.3138,0
Luzhou,105.4239,28.4962,0
Lvliang,111.3386,37.7391,0
Meizhou,116.1472,24.1604,0
Mianyang,104.5889,31.8728,0
Mudanjiang,129.922,44.7062,0
Nanchang,115.9893,28.648,0
Nanchong,106.3275,31.1548,0
Nanjing,118.7472,31.919,1
Nanning,108.2967,23.1208,0
Nanping,118.1837,27.2822,0
Nantong,120.8781,32.1737,1
Nanyang,112.1921,33.0353,0
Ningbo,121.4655,29.7492,1
Ordos,108.4911,39.2472,0
Panzhihua,101.7323,26.7127,0
Pu'er,100.9405,23.4313,0
Qiandongnan,108.3186,26.4258,0
Qiannan,107.3215,26.2754,0
Qingdao,120.2999,36.3606,0
Qingyang,107.7693,36.1942,0
Qinhuangdao,119.3538,40.0226,0
Qionghai,110.4587,19.227,0
Qiqihar,124.5966,47.5736,0
Quanzhou,118.1472,25.2324,0
Quzhou,118.8088,28.8833,1
Rizhao,119.1875,35.5636,0
Sanming,117.5106,26.3075,0
Sanya,109.2653,18.4008,0
Shanghai,121.3898,31.1022,1
Shangrao,117.8413,28.7538,0
Shaoguan,113.5846,24.7042,0
Shaoyang,110.6832,26.8145,0
Shenyang,123.0224,42.1165,0
Shenzhen,114.1596,22.6531,0
Shihezi,86.0423,44.2905,0
Shijiazhuang,114.6012,38.1006,0
Shiyan,110.4261,32.3987,0
Songyuan,124.2384,44.7612,0
Taiyuan,112.1575,37.9475,0
Taizhou,120.9669,28.6998,1
Tangshan,118.1864,39.715,0
Tianjin,117.3402,39.3979,0
Tianshui,105.5479,34.6325,0
Tonghua,125.7278,41.9393,0
Tongliao,122.0606,43.9583,0
Tongren,108.5438,28.095,0
Turpan,89.7948,42.4172,0
Ulanhot,122.07,46.08,0
Ulanqab,112.6492,41.7759,0
Urumqi,87.645,43.9629,0
Weifang,119.0625,36.5122,0
Weihai,122.1148,37.1462,0
Wenshan,104.8611,23.583,0
Wenzhou,120.3539,27.891,1
Wuhan,114.3705,30.6692,0
Wuxi,120.3226,31.5698,1
Wuzhou,111.0341,23.5177,0
Xi'an,109.1081,34.2201,0
Xiamen,118.1509,24.6708,0
Xiangyang,111.9981,31.932,0
Xichang,102.0899,27.6768,0
Xingyi,105.5357,25.4019,0
Xining,101.4687,36.8447,0
Xinyang,114.8396,32.0151,0
Xinzhou,112.3882,38.9069,0
Xishuangbanna,100.8461,21.8696,0
Xuzhou,117.802,34.3535,1
Yan'an,109.5522,36.4219,0
Yancheng,120.0373,33.5277,1
Yangzhou,119.5549,32.8162,1
Yanji,129.439,43.2515,0
Yantai,120.7992,37.2036,0
Yibin,104.7628,28.5548,0
Yichang,111.2453,30.7545,0
Yichun,128.9131,47.9618,0
Yinchuan,106.28,38.2363,0
Yingkou,122.6148,40.4334,0
Yiwu,119.9979,29.1026,1
Yongzhou,111.89,25.7534,0
Yueyang,113.2971,29.1333,0
Yulin,110.2839,22.3844,0
Yuncheng,111.2144,35.2046,0
Zhangjiajie,110.5927,29.3426,0
Zhangjiakou,115.2224,40.843,0
Zhangye,99.8717,39.0183,0
Zhanjiang,109.982,21.0661,0
Zhaotong,104.2896,27.6115,0
Zhengzhou,113.4945,34.6219,0
Zhongwei,105.4937,36.9452,0
Zhoushan,122.1336,30.0624,1
Zhuhai,113.3303,22.1459,0
Zunyi,106.8305,28.174,0
