function,trajectory,period,tenure,index,value,n,exemplars
Global financial capital,Growing,before,Sale,netflow,-0.5483,1,London
Global financial capital,Growing,before,Sale,leaving,0.3181,1,London
Global financial capital,Growing,before,Sale,openness,0.3767,1,London
Global financial capital,Growing,before,Sale,reach_km,123.8249,1,London
Global financial capital,Growing,before,Sale,hhi,0.0385,1,London
Global financial capital,Stable,before,Sale,netflow,,0,
Global financial capital,Stable,before,Sale,leaving,,0,
Global financial capital,Stable,before,Sale,openness,,0,
Global financial capital,Stable,before,Sale,reach_km,,0,
Global financial capital,Stable,before,Sale,hhi,,0,
Global financial capital,Declining,before,Sale,netflow,,0,
Global financial capital,Declining,before,Sale,leaving,,0,
Global financial capital,Declining,before,Sale,openness,,0,
Global financial capital,Declining,before,Sale,reach_km,,0,
Global financial capital,Declining,before,Sale,hhi,,0,
Devolved/administrative capital,Growing,before,Sale,netflow,-0.1822,1,Edinburgh
Devolved/administrative capital,Growing,before,Sale,leaving,0.405,1,Edinburgh
Devolved/administrative capital,Growing,before,Sale,openness,0.5354,1,Edinburgh
Devolved/administrative capital,Growing,before,Sale,reach_km,105.6434,1,Edinburgh
Devolved/administrative capital,Growing,before,Sale,hhi,0.1128,1,Edinburgh
Devolved/administrative capital,Stable,before,Sale,netflow,0.2113,1,Cardiff
Devolved/administrative capital,Stable,before,Sale,leaving,0.1897,1,Cardiff
Devolved/administrative capital,Stable,before,Sale,openness,0.3727,1,Cardiff
Devolved/administrative capital,Stable,before,Sale,reach_km,96.0182,1,Cardiff
Devolved/administrative capital,Stable,before,Sale,hhi,0.1069,1,Cardiff
Devolved/administrative capital,Declining,before,Sale,netflow,,0,
Devolved/administrative capital,Declining,before,Sale,leaving,,0,
Devolved/administrative capital,Declining,before,Sale,openness,,0,
Devolved/administrative capital,Declining,before,Sale,reach_km,,0,
Devolved/administrative capital,Declining,before,Sale,hhi,,0,
Regenerating core city,Growing,before,Sale,netflow,-0.0211,3,Manchester; Bristol
Regenerating core city,Growing,before,Sale,leaving,0.2452,3,Manchester; Bristol
Regenerating core city,Growing,before,Sale,openness,0.3962,3,Manchester; Bristol
Regenerating core city,Growing,before,Sale,reach_km,90.2203,3,Manchester; Bristol
Regenerating core city,Growing,before,Sale,hhi,0.0727,3,Manchester; Bristol
Regenerating core city,Stable,before,Sale,netflow,0.1055,6,Glasgow; Birmingham
