study,year,pub_year,country,iso3,group,gender,or,authors,title,journal,doi,study_stage,lat,lon,update_date,area
Acolin et al. (2016),2014,2016,France,FRA,Black/African,Female,0.346,"Arthur Acolin, Raphael Bostic, Gary Painter",A field study of rental market discrimination across origins in France,Journal of Urban Economics,10.1016/j.jue.2016.07.005,Completed,,,,
Acolin et al. (2016),2014,2016,France,FRA,Black/African,Female,0.273,"Arthur Acolin, Raphael Bostic, Gary Painter",A field study of rental market discrimination across origins in France,Journal of Urban Economics,10.1016/j.jue.2016.07.005,Completed,,,,
Acolin et al. (2016),2014,2016,France,FRA,Turkish/Muslim,Female,0.33,"Arthur Acolin, Raphael Bostic, Gary Painter",A field study of rental market discrimination across origins in France,Journal of Urban Economics,10.1016/j.jue.2016.07.005,Completed,,,,
Acolin et al. (2016),2014,2016,France,FRA,Eastern European,Female,0.893,"Arthur Acolin, Raphael Bostic, Gary Painter",A field study of rental market discrimination across origins in France,Journal of Urban Economics,10.1016/j.jue.2016.07.005,Completed,,,,
Acolin et al. (2016),2014,2016,France,FRA,Portugal/Spain,Female,0.666,"Arthur Acolin, Raphael Bostic, Gary Painter",A field study of rental market discrimination across origins in France,Journal of Urban Economics,10.1016/j.jue.2016.07.005,Completed,,,,
Acolin et al. (2016),2014,2016,France,FRA,Black/African,Male,0.314,"Arthur Acolin, Raphael Bostic, Gary Painter",A field study of rental market discrimination across origins in France,Journal of Urban Economics,10.1016/j.jue.2016.07.005,Completed,,,,
Acolin et al. (2016),2014,2016,France,FRA,Black/African,Male,0.327,"Arthur Acolin, Raphael Bostic, Gary Painter",A field study of rental market discrimination across origins in France,Journal of Urban Economics,10.1016/j.jue.2016.07.005,Completed,,,,
Acolin et al. (2016),2014,2016,France,FRA,Turkish/Muslim,Male,0.447,"Arthur Acolin, Raphael Bostic, Gary Painter",A field study of rental market discrimination across origins in France,Journal of Urban Economics,10.1016/j.jue.2016.07.005,Completed,,,,
Acolin et al. (2016),2014,2016,France,FRA,Eastern European,Male,0.521,"Arthur Acolin, Raphael Bostic, Gary Painter",A field study of rental market discrimination across origins in France,Journal of Urban Economics,10.1016/j.jue.2016.07.005,Completed,,,,
Acolin et al. (2016),2014,2016,France,FRA,Portugal/Spain,Male,0.66,"Arthur Acolin, Raphael Bostic, Gary Painter",A field study of rental market discrimination across origins in France,Journal of Urban Economics,10.1016/j.jue.2016.07.005,Completed,,,,
Acolin et al. (2016),2014,2016,France,FRA,Black/African,Both,0.406,"Arthur Acolin, Raphael Bostic, Gary Painter",A field study of rental market discrimination across origins in France,Journal of Urban Economics,10.1016/j.jue.2016.07.005,Completed,,,,
Acolin et al. (2016),2014,2016,France,FRA,Black/African,Both,0.367,"Arthur Acolin, Raphael Bostic, Gary Painter",A field study of rental market discrimination across origins in France,Journal of Urban Economics,10.1016/j.jue.2016.07.005,Completed,,,,
Acolin et al. (2016),2014,2016,France,FRA,Turkish/Muslim,Both,0.476,"Arthur Acolin, Raphael Bostic, Gary Painter",A field study of rental market discrimination across origins in France,Journal of Urban Economics,10.1016/j.jue.2016.07.005,Completed,,,,
Acolin et al. (2016),2014,2016,France,FRA,Eastern European,Both,0.829,"Arthur Acolin, Raphael Bostic, Gary Painter",A field study of rental market discrimination across origins in France,Journal of Urban Economics,10.1016/j.jue.2016.07.005,Completed,,,,
Acolin et al. (2016),2014,2016,France,FRA,Portugal/Spain,Both,0.816,"Arthur Acolin, Raphael Bostic, Gary Painter",A field study of rental market discrimination across origins in France,Journal of Urban Economics,10.1016/j.jue.2016.07.005,Completed,,,,
