unit_cd,unit_nm,year,tenure,leaving_pct,mean_km,enq
NAT,National (all areas),2016,Sale,38.21,107.7,5980042
NAT,National (all areas),2017,Sale,37.97,109.6,6047879
NAT,National (all areas),2018,Sale,36.29,108.7,5873347
NAT,National (all areas),2019,Sale,34.32,103.8,5993584
NAT,National (all areas),2020,Sale,36.0,101.4,9333316
NAT,National (all areas),2021,Sale,37.42,99.9,11487916
NAT,National (all areas),2022,Sale,36.55,99.5,10804554
NAT,National (all areas),2023,Sale,34.84,102.4,7742383
NAT,National (all areas),2024,Sale,33.17,96.2,8256365
NAT,National (all areas),2025,Sale,32.67,94.0,7744125
NAT,National (all areas),2016,Rent,31.68,111.6,2899696
NAT,National (all areas),2017,Rent,31.2,116.0,3849064
NAT,National (all areas),2018,Rent,27.77,105.9,8403772
NAT,National (all areas),2019,Rent,27.44,104.6,9310700
NAT,National (all areas),2020,Rent,29.96,102.1,12967555
NAT,National (all areas),2021,Rent,31.99,109.3,16520668
NAT,National (all areas),2022,Rent,31.85,111.8,21587743
NAT,National (all areas),2023,Rent,31.93,108.9,22472734
NAT,National (all areas),2024,Rent,31.27,107.7,17860315
NAT,National (all areas),2025,Rent,31.35,109.1,13820683
E30000004,Barnsley,2016,Rent,34.74,67.8,6329
E30000004,Barnsley,2017,Rent,41.29,69.0,7252
E30000004,Barnsley,2018,Rent,32.69,60.9,20376
E30000004,Barnsley,2019,Rent,34.41,62.8,22899
E30000004,Barnsley,2020,Rent,35.37,51.8,39771
E30000004,Barnsley,2021,Rent,37.36,61.8,48790
E30000004,Barnsley,2022,Rent,36.49,58.9,50815
E30000004,Barnsley,2023,Rent,39.44,59.3,47894
E30000004,Barnsley,2024,Rent,43.01,58.0,39488
E30000004,Barnsley,2025,Rent,43.84,64.0,30187
E30000004,Barnsley,2016,Sale,44.84,123.7,14508
E30000004,Barnsley,2017,Sale,37.76,70.2,14498
E30000004,Barnsley,2018,Sale,31.9,58.1,14958
E30000004,Barnsley,2019,Sale,33.3,49.2,17259
E30000004,Barnsley,2020,Sale,36.73,54.8,27094
