prov,year,ind,ls,w,we,ws,wg,al
广东省,2008,50,1,1,1,1,1,1
广东省,2009,50,0,0,1,1,0,1
广东省,2010,50,0,0,1,0,0,0
广东省,2011,50,0,0,0,0,1,1
广东省,2012,50,0,0,0,1,1,0
广东省,2013,50,0,0,0,0,1,0
广东省,2014,50,0,0,1,0,1,1
广东省,2015,50,0,0,1,0,0,1
广东省,2016,50,0,0,1,1,0,0
广东省,2017,50,0,0,1,0,0,0
广东省,2018,50,0,1,1,1,1,0
广东省,2021,50,1,1,1,1,1,1
广东省,2022,50,1,1,1,1,1,1
广东省,2008,66,0,0,0,0,1,0
广东省,2009,66,0,0,1,0,0,0
广东省,2010,66,0,0,0,0,0,0
广东省,2011,66,0,0,0,1,1,0
广东省,2012,66,0,0,1,1,0,0
广东省,2013,66,0,0,0,0,1,0
广东省,2014,66,0,0,0,1,0,0
广东省,2015,66,0,0,1,1,0,0
广东省,2016,66,0,0,1,1,0,0
广东省,2017,66,0,0,0,1,0,0
广东省,2018,66,0,0,1,1,0,0
广东省,2019,66,0,0,1,1,0,0
广东省,2020,66,0,0,1,1,0,0
广东省,2021,66,0,1,1,1,1,0
广东省,2022,66,0,0,1,0,0,0
广东省,2007,66,0,1,1,1,1,0
广东省,2008,66,0,0,1,1,0,0
广东省,2009,66,0,0,0,1,1,0
广东省,2010,66,0,0,0,1,1,0
广东省,2011,66,0,0,0,1,1,0
广东省,2012,66,0,0,0,1,0,0
广东省,2013,66,0,0,0,1,0,0
广东省,2014,66,0,0,1,1,0,0
广东省,2015,66,0,0,1,1,0,0
广东省,2016,66,0,0,1,1,0,0
广东省,2017,66,0,0,1,1,0,0
广东省,2018,66,0,0,0,1,1,0
广东省,2019,66,0,0,1,1,0,0
广东省,2020,66,0,0,0,0,0,1
广东省,2021,66,0,0,0,1,0,1
广东省,2022,66,0,0,0,1,1,1
广东省,2008,16,0,0,0,1,0,0
广东省,2009,16,0,0,0,1,0,0
广东省,2010,16,0,0,0,1,0,0
广东省,2011,16,0,0,0,1,1,0
广东省,2012,16,0,0,0,1,0,0
广东省,2013,16,0,1,1,1,1,0
广东省,2014,16,0,0,0,0,1,0
广东省,2015,16,0,0,0,0,1,0
广东省,2016,16,0,0,0,0,1,0
广东省,2022,66,0,0,1,1,0,1
广东省,2008,36,0,0,1,0,0,1
广东省,2009,36,0,0,0,0,0,1
广东省,2010,36,0,0,0,0,0,0
广东省,2011,36,0,0,0,0,0,0
广东省,2012,36,0,0,0,1,1,0
广东省,2013,36,0,0,0,1,1,1
广东省,2014,36,0,1,1,1,1,0
广东省,2015,36,0,0,1,0,1,1
广东省,2016,36,0,0,0,1,1,0
广东省,2017,36,0,0,0,1,0,0
广东省,2019,36,0,1,1,1,1,0
广东省,2020,36,0,0,0,1,0,1
广东省,2021,36,0,0,0,0,1,0
