unit_cd,year,market,direction,rank,partner_cd,flow,share
E30000004,2010,Rent,from,1,E30000261,687,0.2462
E30000004,2010,Rent,from,2,E30000283,455,0.1631
E30000004,2010,Rent,from,3,E30000201,261,0.0935
E30000004,2010,Rent,from,4,E30000229,108,0.0387
E30000004,2010,Rent,from,5,E30000219,102,0.0366
E30000004,2010,Rent,from,6,E30000239,59,0.0211
E30000004,2010,Rent,from,7,E30000231,57,0.0204
E30000004,2010,Rent,from,8,E30000266,57,0.0204
E30000004,2010,Rent,from,9,E30000240,51,0.0183
E30000004,2010,Rent,from,10,E30000018,49,0.0176
E30000004,2010,Rent,to,1,E30000261,588,0.2401
E30000004,2010,Rent,to,2,E30000201,388,0.1584
E30000004,2010,Rent,to,3,E30000229,196,0.08
E30000004,2010,Rent,to,4,E30000283,162,0.0661
E30000004,2010,Rent,to,5,E30000219,112,0.0457
E30000004,2010,Rent,to,6,E30000093,79,0.0323
E30000004,2010,Rent,to,7,E30000239,51,0.0208
E30000004,2010,Rent,to,8,E30000220,48,0.0196
E30000004,2010,Rent,to,9,E30000245,48,0.0196
E30000004,2010,Rent,to,10,E30000234,41,0.0167
E30000018,2010,Rent,from,1,E30000229,1033,0.2869
E30000018,2010,Rent,from,2,E30000029,398,0.1105
E30000018,2010,Rent,from,3,E30000219,338,0.0939
E30000018,2010,Rent,from,4,E30000214,214,0.0594
E30000018,2010,Rent,from,5,E30000182,200,0.0555
E30000018,2010,Rent,from,6,E30000239,120,0.0333
E30000018,2010,Rent,from,7,E30000283,116,0.0322
E30000018,2010,Rent,from,8,E30000234,63,0.0175
E30000018,2010,Rent,from,9,E30000220,55,0.0153
E30000018,2010,Rent,from,10,E30000266,48,0.0133
E30000018,2010,Rent,to,1,E30000229,1275,0.2442
E30000018,2010,Rent,to,2,E30000029,680,0.1302
E30000018,2010,Rent,to,3,E30000219,475,0.091
E30000018,2010,Rent,to,4,E30000214,274,0.0525
E30000018,2010,Rent,to,5,E30000234,259,0.0496
E30000018,2010,Rent,to,6,E30000239,168,0.0322
E30000018,2010,Rent,to,7,E30000283,99,0.019
E30000018,2010,Rent,to,8,E30000171,84,0.0161
E30000018,2010,Rent,to,9,E30000220,82,0.0157
E30000018,2010,Rent,to,10,E30000245,73,0.014
E30000029,2010,Rent,from,1,E30000018,680,0.2388
E30000029,2010,Rent,from,2,E30000219,587,0.2061
E30000029,2010,Rent,from,3,E30000239,281,0.0987
E30000029,2010,Rent,from,4,E30000229,255,0.0895
E30000029,2010,Rent,from,5,E30000182,70,0.0246
E30000029,2010,Rent,from,6,E30000170,68,0.0239
E30000029,2010,Rent,from,7,E30000283,57,0.02
E30000029,2010,Rent,from,8,E30000234,54,0.019
E30000029,2010,Rent,from,9,E30000214,53,0.0186
E30000029,2010,Rent,from,10,E30000266,37,0.013
E30000029,2010,Rent,to,1,E30000219,705,0.2506
E30000029,2010,Rent,to,2,E30000018,398,0.1415
E30000029,2010,Rent,to,3,E30000239,356,0.1266
E30000029,2010,Rent,to,4,E30000229,330,0.1173
E30000029,2010,Rent,to,5,E30000182,63,0.0224
E30000029,2010,Rent,to,6,E30000233,62,0.022
E30000029,2010,Rent,to,7,E30000261,48,0.0171
E30000029,2010,Rent,to,8,E30000214,47,0.0167
E30000029,2010,Rent,to,9,E30000283,46,0.0164
E30000029,2010,Rent,to,10,E30000171,46,0.0164
E30000046,2010,Rent,from,1,E30000175,1520,0.2961
E30000046,2010,Rent,from,2,E30000293,373,0.0727
E30000046,2010,Rent,from,3,E30000267,338,0.0658
E30000046,2010,Rent,from,4,E30000234,230,0.0448
E30000046,2010,Rent,from,5,E30000280,217,0.0423
E30000046,2010,Rent,from,6,E30000195,157,0.0306
E30000046,2010,Rent,from,7,E30000250,110,0.0214
E30000046,2010,Rent,from,8,E30000266,104,0.0203
E30000046,2010,Rent,from,9,E30000239,74,0.0144
E30000046,2010,Rent,from,10,E30000254,71,0.0138
E30000046,2010,Rent,to,1,E30000175,2260,0.3914
E30000046,2010,Rent,to,2,E30000293,463,0.0802
E30000046,2010,Rent,to,3,E30000267,395,0.0684
E30000046,2010,Rent,to,4,E30000280,353,0.0611
E30000046,2010,Rent,to,5,E30000253,198,0.0343
E30000046,2010,Rent,to,6,E30000234,187,0.0324
E30000046,2010,Rent,to,7,E30000180,106,0.0184
E30000046,2010,Rent,to,8,E30000257,80,0.0139
E30000046,2010,Rent,to,9,E30000266,72,0.0125
E30000046,2010,Rent,to,10,E30000212,70,0.0121
E30000054,2010,Rent,from,1,E30000108,410,0.1895
E30000054,2010,Rent,from,2,E30000231,377,0.1742
E30000054,2010,Rent,from,3,E30000234,124,0.0573
E30000054,2010,Rent,from,4,E30000230,106,0.049
E30000054,2010,Rent,from,5,E30000224,106,0.049
E30000054,2010,Rent,from,6,E30000124,89,0.0411
E30000054,2010,Rent,from,7,E30000249,87,0.0402
E30000054,2010,Rent,from,8,E30000287,76,0.0351
E30000054,2010,Rent,from,9,E30000186,41,0.0189
E30000054,2010,Rent,from,10,E30000264,34,0.0157
E30000054,2010,Rent,to,1,E30000231,280,0.1452
