unit_cd,unit_nm,year,market,index,value
E30000004,Barnsley,2010,Rent,enq,9007.0
E30000018,Bradford,2010,Rent,enq,15631.0
E30000029,Halifax,2010,Rent,enq,8120.0
E30000046,Dorchester and Weymouth,2010,Rent,enq,11229.0
E30000054,Grantham,2010,Rent,enq,4204.0
E30000061,Hastings,2010,Rent,enq,4870.0
E30000070,Isle of Wight,2010,Rent,enq,3751.0
E30000076,Lancaster and Morecambe,2010,Rent,enq,5888.0
E30000093,Middlesbrough and Stockton,2010,Rent,enq,22103.0
E30000108,Peterborough,2010,Rent,enq,10275.0
E30000124,Spalding,2010,Rent,enq,2477.0
E30000135,Thetford and Mildenhall,2010,Rent,enq,4993.0
E30000159,Andover,2010,Rent,enq,3718.0
E30000160,Ashford,2010,Rent,enq,4669.0
E30000162,Barnstaple,2010,Rent,enq,951.0
E30000163,Barrow-in-Furness,2010,Rent,enq,3713.0
E30000164,Basingstoke,2010,Rent,enq,8908.0
E30000165,Bath,2010,Rent,enq,7616.0
E30000166,Bedford,2010,Rent,enq,6918.0
E30000167,Bideford,2010,Rent,enq,893.0
E30000168,Birkenhead,2010,Rent,enq,10090.0
E30000169,Birmingham,2010,Rent,enq,55214.0
E30000170,Blackburn,2010,Rent,enq,8209.0
E30000171,Blackpool,2010,Rent,enq,13102.0
E30000173,Blyth and Ashington,2010,Rent,enq,4473.0
E30000174,Boston,2010,Rent,enq,1994.0
E30000175,Bournemouth,2010,Rent,enq,27309.0
E30000179,Brighton,2010,Rent,enq,18637.0
E30000180,Bristol,2010,Rent,enq,28165.0
E30000182,Burnley,2010,Rent,enq,5844.0
E30000183,Burton upon Trent,2010,Rent,enq,6986.0
E30000184,Bury St Edmunds,2010,Rent,enq,6896.0
E30000186,Cambridge,2010,Rent,enq,24629.0
E30000187,Canterbury,2010,Rent,enq,7415.0
E30000188,Chelmsford,2010,Rent,enq,18249.0
E30000189,Cheltenham,2010,Rent,enq,3594.0
E30000190,Chesterfield,2010,Rent,enq,4908.0
E30000191,Chichester and Bognor Regis,2010,Rent,enq,8920.0
E30000192,Clacton,2010,Rent,enq,7114.0
E30000193,Colchester,2010,Rent,enq,9052.0
