trans_type,year,theil,moran,moran_p
Sale,2010,0.04413,0.4481,0.001
Sale,2011,0.0362,0.4838,0.001
Sale,2012,0.03272,0.3726,0.001
Sale,2013,0.03269,0.5066,0.001
Sale,2014,0.04367,0.5511,0.001
Sale,2015,0.04572,0.5939,0.001
Sale,2016,0.04449,0.5772,0.001
Sale,2017,0.04554,0.5537,0.001
Sale,2018,0.05134,0.5573,0.001
Sale,2019,0.05843,0.5395,0.001
Sale,2020,0.04864,0.531,0.001
Sale,2021,0.04838,0.4776,0.001
Sale,2022,0.06244,0.5041,0.001
Sale,2023,0.08255,0.6173,0.001
Sale,2024,0.0948,0.5527,0.001
Sale,2025,0.09503,0.6213,0.001
Rent,2010,0.0801,0.4301,0.001
Rent,2011,0.05689,0.4247,0.001
Rent,2012,0.03654,0.4132,0.001
Rent,2013,0.03085,0.4383,0.001
Rent,2014,0.03237,0.4248,0.001
Rent,2015,0.03638,0.4172,0.001
Rent,2016,0.03432,0.457,0.001
Rent,2017,0.03992,0.3584,0.001
Rent,2018,0.04874,0.5385,0.001
Rent,2019,0.05801,0.4462,0.001
Rent,2020,0.06401,0.4843,0.001
Rent,2021,0.07659,0.4647,0.001
Rent,2022,0.07769,0.4681,0.001
Rent,2023,0.08343,0.5202,0.001
Rent,2024,0.08997,0.5104,0.001
Rent,2025,0.09814,0.53,0.001
