year,trans_type,ttwa_cd,theta
2010,Rent,E30000004,3.433
2010,Rent,E30000018,1.777
2010,Rent,E30000029,2.317
2010,Rent,E30000046,1.628
2010,Rent,E30000054,1.606
2010,Rent,E30000061,0.814
2010,Rent,E30000070,1.68
2010,Rent,E30000076,3.227
2010,Rent,E30000093,3.9
2010,Rent,E30000108,1.4
2010,Rent,E30000124,1.537
2010,Rent,E30000135,1.707
2010,Rent,E30000159,1.452
2010,Rent,E30000160,1.73
2010,Rent,E30000162,0.843
2010,Rent,E30000164,1.16
2010,Rent,E30000165,1.382
2010,Rent,E30000166,1.164
2010,Rent,E30000167,1.448
2010,Rent,E30000168,1.769
2010,Rent,E30000169,1.438
2010,Rent,E30000170,2.099
2010,Rent,E30000171,2.169
2010,Rent,E30000173,1.093
2010,Rent,E30000174,1.533
2010,Rent,E30000175,1.334
2010,Rent,E30000179,1.106
2010,Rent,E30000180,1.025
2010,Rent,E30000182,2.652
2010,Rent,E30000183,1.312
2010,Rent,E30000184,1.312
2010,Rent,E30000186,1.382
2010,Rent,E30000187,1.448
2010,Rent,E30000188,1.781
2010,Rent,E30000189,0.784
2010,Rent,E30000190,1.851
2010,Rent,E30000191,1.308
2010,Rent,E30000192,1.858
2010,Rent,E30000193,1.836
2010,Rent,E30000195,1.426
2010,Rent,E30000196,0.901
2010,Rent,E30000197,1.097
2010,Rent,E30000198,1.999
2010,Rent,E30000199,2.028
2010,Rent,E30000200,1.561
2010,Rent,E30000201,1.662
2010,Rent,E30000202,2.066
2010,Rent,E30000203,1.721
2010,Rent,E30000204,1.434
2010,Rent,E30000205,1.132
2010,Rent,E30000206,1.168
2010,Rent,E30000208,1.719
2010,Rent,E30000209,0.757
2010,Rent,E30000210,3.032
2010,Rent,E30000211,2.406
2010,Rent,E30000212,1.051
2010,Rent,E30000215,4.106
2010,Rent,E30000216,1.534
2010,Rent,E30000218,0.981
2010,Rent,E30000219,1.715
2010,Rent,E30000220,1.974
2010,Rent,E30000221,1.375
2010,Rent,E30000222,1.732
2010,Rent,E30000224,1.239
2010,Rent,E30000225,2.177
2010,Rent,E30000226,0.909
2010,Rent,E30000228,1.168
2010,Rent,E30000229,1.404
2010,Rent,E30000230,1.586
2010,Rent,E30000231,1.877
2010,Rent,E30000233,1.736
2010,Rent,E30000234,0.702
2010,Rent,E30000237,1.205
2010,Rent,E30000239,1.333
2010,Rent,E30000240,2.007
2010,Rent,E30000241,0.915
2010,Rent,E30000242,1.485
2010,Rent,E30000243,1.602
2010,Rent,E30000244,1.672
2010,Rent,E30000245,1.0
2010,Rent,E30000247,0.959
2010,Rent,E30000248,2.096
2010,Rent,E30000249,1.93
2010,Rent,E30000250,1.136
2010,Rent,E30000253,1.391
2010,Rent,E30000254,1.341
2010,Rent,E30000255,2.521
2010,Rent,E30000256,0.732
2010,Rent,E30000257,2.027
2010,Rent,E30000260,2.045
2010,Rent,E30000261,2.036
2010,Rent,E30000262,1.586
2010,Rent,E30000264,3.122
2010,Rent,E30000266,0.863
2010,Rent,E30000267,0.74
2010,Rent,E30000268,2.015
2010,Rent,E30000271,2.578
2010,Rent,E30000272,1.409
2010,Rent,E30000273,1.983
2010,Rent,E30000275,2.549
2010,Rent,E30000276,1.362
2010,Rent,E30000278,1.43
2010,Rent,E30000279,1.289
2010,Rent,E30000280,1.011
2010,Rent,E30000281,0.843
2010,Rent,E30000283,1.775
2010,Rent,E30000284,2.263
2010,Rent,E30000285,0.83
2010,Rent,E30000287,2.342
2010,Rent,E30000288,1.71
2010,Rent,E30000289,1.708
2010,Rent,E30000291,1.902
2010,Rent,E30000292,1.173
2010,Rent,E30000294,1.229
2010,Rent,K01000005,1.843
2010,Rent,K01000011,2.115
2010,Rent,K01000013,1.409
